quote_date,underlying_last,expire_date,dte,c_last,strike,p_last
2021-01-05,130.95,2021-01-08,3.0,0.01,150.0,19.1
2021-01-05,130.95,2021-01-08,3.0,0.01,152.5,0.0
2021-01-05,130.95,2021-01-08,3.0,0.01,155.0,26.4
2021-01-05,130.95,2021-01-08,3.0,0.01,157.5,0.0
2021-01-05,130.95,2021-01-08,3.0,0.01,160.0,27.6
2021-01-05,130.95,2021-01-08,3.0,0.01,165.0,34.6
2021-01-05,130.95,2021-01-08,3.0,0.01,170.0,33.7
2021-01-05,130.95,2021-01-08,3.0,0.01,175.0,43.7
2021-01-05,130.95,2021-01-08,3.0,0.01,180.0,50.65
2021-01-05,130.95,2021-01-08,3.0,0.01,185.0,0.0
2021-01-05,130.95,2021-01-08,3.0,0.01,190.0,59.85
2021-01-05,130.95,2021-01-08,3.0,0.01,195.0,62.67
2021-01-05,130.95,2021-01-15,10.0,112.25,18.75,0.01
2021-01-05,130.95,2021-01-15,10.0,112.6,20.0,0.01
2021-01-05,130.95,2021-01-15,10.0,109.45,21.25,0.01
2021-01-05,130.95,2021-01-15,10.0,108.4,22.5,0.02
2021-01-05,130.95,2021-01-15,10.0,109.0,23.75,0.01
2021-01-05,130.95,2021-01-15,10.0,106.0,25.0,0.01
2021-01-05,130.95,2021-01-15,10.0,108.55,26.25,0.01
2021-01-05,130.95,2021-01-15,10.0,104.0,27.5,0.01
2021-01-05,130.95,2021-01-15,10.0,103.0,28.75,0.01
2021-01-05,130.95,2021-01-15,10.0,101.05,30.0,0.01
2021-01-05,130.95,2021-01-15,10.0,97.81,31.25,0.01
2021-01-05,130.95,2021-01-15,10.0,96.35,32.5,0.01
2021-01-05,130.95,2021-01-15,10.0,97.35,33.75,0.01
2021-01-05,130.95,2021-01-15,10.0,95.98,35.0,0.01
2021-01-05,130.95,2021-01-15,10.0,94.71,36.25,0.02
2021-01-05,130.95,2021-01-15,10.0,93.55,37.5,0.01
2021-01-05,130.95,2021-01-15,10.0,91.36,38.75,0.01
2021-01-05,130.95,2021-01-15,10.0,89.4,40.0,0.01
2021-01-05,130.95,2021-01-15,10.0,89.77,41.25,0.01
2021-01-05,130.95,2021-01-15,10.0,88.68,42.5,0.01
2021-01-05,130.95,2021-01-15,10.0,87.32,43.75,0.01
2021-01-05,130.95,2021-01-15,10.0,86.1,45.0,0.01
2021-01-05,130.95,2021-01-15,10.0,83.86,46.25,0.01
2021-01-05,130.95,2021-01-15,10.0,82.0,47.5,0.01
2021-01-05,130.95,2021-01-15,10.0,82.35,48.75,0.01
2021-01-05,130.95,2021-01-15,10.0,81.25,50.0,0.01
2021-01-05,130.95,2021-01-15,10.0,79.75,51.25,0.01
